task type;task ID;Language Level;Criterium;Task Domain;Training Goal;Total number of answers;strongly disagree;disagree;neutral;agree;strongly agree;s. disagree (n);disagree (n);neutral (n);agree (n);s. sgree (n)
Gap Text;TaskGT1.1;A1;Clear wording;Grammar;Possessive adjectives;15;13,3;6,7;20;33,3;26,7;2;1;3;5;4
Gap Text;TaskGT1.2;A1;Good formatting;Grammar;Possessive adjectives;15;6,7;6,7;13,3;40;33,3;1;1;2;6;5
Gap Text;TaskGT1.3;A1;Topic coverage;Grammar;Possessive adjectives;15;0;13,3;26,7;40;20;0;2;4;6;3
Gap Text;TaskGT1.4;A1;Language level;Grammar;Possessive adjectives;15;0;0;20;46,7;33,3;0;0;3;7;5
Gap Text;TaskGT1.5;A1;Correct answer possible;Grammar;Possessive adjectives;15;0;7,1;7,1;57,1;28,6;0;1;1;8;4
Gap Text;TaskGT2.1;A2;Clear wording;Text;Holidays;14;7,1;7,1;35,7;35,7;14,3;1;1;5;5;2
Gap Text;TaskGT2.2;A2;Good formatting;Text;Holidays;14;0;14,3;21,4;50;14,3;0;2;3;7;2
Gap Text;TaskGT2.3;A2;Topic coverage;Text;Holidays;14;0;7,1;14,3;64,3;14,3;0;1;2;9;2
Gap Text;TaskGT2.4;A2;Language level;Text;Holidays;14;0;21,4;7,1;50;21,4;0;3;1;7;3
Gap Text;TaskGT2.5;A2;Correct answer possible;Text;Holidays;14;7,1;35,7;14,3;35,7;7,1;1;5;2;5;1
Gap Text;TaskGT3.1;B1;Clear wording;Vocabulary;Travel and services;14;7,1;21,4;21,4;28,6;21,4;1;3;3;4;3
Gap Text;TaskGT3.2;B1;Good formatting;Vocabulary;Travel and services;14;7,7;23,1;30,8;15,4;23,1;1;3;4;2;3
Gap Text;TaskGT3.3;B1;Topic coverage;Vocabulary;Travel and services;14;0;7,1;35,7;28,6;28,6;0;1;5;4;4
Gap Text;TaskGT3.4;B1;Language level;Vocabulary;Travel and services;14;8,3;0;41,7;33,3;16,7;1;0;5;4;2
Gap Text;TaskGT3.5;B1;Correct answer possible;Vocabulary;Travel and services;14;7,1;35,7;14,3;21,4;21,4;1;5;2;3;3
Gap Text;TaskGT4.1;B2;Clear wording;Grammar;Modals (can't have, needn't have);15;6,7;26,7;6,7;53,3;6,7;1;4;1;8;1
Gap Text;TaskGT4.2;B2;Good formatting;Grammar;Modals (can't have, needn't have);15;0;40;20;33,3;6,7;0;3;3;5;1
Gap Text;TaskGT4.3;B2;Topic coverage;Grammar;Modals (can't have, needn't have);15;0;20;13,3;60;6,7;0;2;2;9;1
