task type;feedback ID;Correctness;Criterium;Total number of answers;1 (p);2 (p);3 (p);4 (p);5 (p);1 (n);2 (n);3 (n);4 (n);5 (n)
Gap Text;FeedbackGT1.1;yes;Actionable and constructive feedback;15;6,7;6,7;6,7;20;60;1;1;1;3;9
Gap Text;FeedbackGT1.2;yes;Meaningful vocabulary keywords;13;0;15,4;15,4;30,8;38,5;0;2;2;4;5
Gap Text;FeedbackGT1.3;yes;Meaningful grammar keywords;12;0;8,3;8,3;41,7;41,7;0;1;1;5;5
Gap Text;FeedbackGT1.4;yes;Meaningful text skill keywords;13;0;7,7;15,4;38,5;38,5;0;1;2;5;5
Gap Text;FeedbackGT1.5;yes;Correct feedback;14;0;14,3;0;28,6;57,1;0;2;0;4;8
Gap Text;FeedbackGT2.1;no;Actionable and constructive feedback;12;8,3;0;8,3;33,3;50;1;0;1;4;6
Gap Text;FeedbackGT2.2;no;Meaningful vocabulary keywords;11;9,1;0;9,1;45,5;36,4;1;0;1;5;4
Gap Text;FeedbackGT2.3;no;Meaningful grammar keywords;12;16,7;0;8,3;33,3;41,7;2;0;1;4;5
Gap Text;FeedbackGT2.4;no;Meaningful text skill keywords;11;9,1;0;18,2;36,4;36,4;1;0;2;4;4
Gap Text;FeedbackGT2.5;no;Correct feedback;12;8,3;16,7;16,7;25;33,3;1;2;2;3;4
Gap Text;FeedbackGT3.1;yes;Actionable and constructive feedback;15;0;26,7;0;20;53,3;0;4;0;3;8
Gap Text;FeedbackGT3.2;yes;Meaningful vocabulary keywords;12;0;8,3;25;33,3;33,3;0;1;3;4;4
Gap Text;FeedbackGT3.3;yes;Meaningful grammar keywords;12;0;25;16,7;25;33,3;0;3;2;3;4
Gap Text;FeedbackGT3.4;yes;Meaningful text skill keywords;12;0;8,3;41,7;25;25;0;1;5;3;3
Gap Text;FeedbackGT3.5;yes;Correct feedback;13;15,4;7,7;7,7;23,1;46,2;2;1;1;3;6
Gap Text;FeedbackGT4.1;no;Actionable and constructive feedback;14;7,1;0;7,1;35,7;50;1;0;1;5;7
Gap Text;FeedbackGT4.2;no;Meaningful vocabulary keywords;14;0;14,3;0;35,7;50;0;2;0;5;7
Gap Text;FeedbackGT4.3;no;Meaningful grammar keywords;12;8,3;8,3;0;33,3;50;1;1;0;4;6
Gap Text;FeedbackGT4.4;no;Meaningful text skill keywords;12;8,3;0;8,3;33,3;50;1;0;1;4;6
Gap Text;FeedbackGT4.5;no;Correct feedback;13;0;0;15,4;23,1;61,5;0;0;2;3;8
Match the title;FeedbackMT1.1;yes;Actionable and constructive feedback;15;0;0;33,3;20;46,7;0;0;5;3;7
Match the title;FeedbackMT1.2;yes;Meaningful vocabulary keywords;13;0;7,7;30,8;30,8;30,8;0;1;4;4;4
Match the title;FeedbackMT1.3;yes;Meaningful grammar keywords;12;0;8,3;25;33,3;33,3;0;1;3;4;4
Match the title;FeedbackMT1.4;yes;Meaningful text skill keywords;13;7,7;0;30,8;23,1;38,5;1;0;4;3;5
Match the title;FeedbackMT1.5;yes;Correct feedback;15;0;0;33,3;13,3;53,3;0;0;5;2;8
Match the title;FeedbackMT2.1;no;Actionable and constructive feedback;14;7,1;0;21,4;7,1;64,3;1;0;3;1;9
Match the title;FeedbackMT2.2;no;Meaningful vocabulary keywords;14;0;7,1;28,6;28,6;35,7;0;1;4;4;5
Match the title;FeedbackMT2.3;no;Meaningful grammar keywords;15;0;6,7;20;26,7;46,7;0;1;3;4;7
Match the title;FeedbackMT2.4;no;Meaningful text skill keywords;13;0;0;30,8;15,4;53,8;0;0;4;2;7
Match the title;FeedbackMT2.5;no;Correct feedback;13;0;0;30,8;7,7;61,5;0;0;4;1;8
Match the title;FeedbackMT3.1;no;Actionable and constructive feedback;15;0;20;26,7;13,3;40;0;3;4;2;6
Match the title;FeedbackMT3.2;no;Meaningful vocabulary keywords;13;15,4;7,7;15,4;38,5;23,1;2;1;2;5;3
Match the title;FeedbackMT3.3;no;Meaningful grammar keywords;13;7,7;7,7;15,4;38,5;30,8;1;1;2;5;4
